,date,temp,count
518,2008-03-01,14.73,40
519,2008-04-01,14.53,49
520,2008-05-01,14.51,46
521,2008-06-01,14.48,41
522,2008-07-01,14.6,38
523,2008-08-01,14.44,46
524,2008-09-01,14.65,39
525,2008-10-01,14.67,43
526,2008-11-01,14.67,49
527,2008-12-01,14.54,39
528,2009-01-01,14.62,49
529,2009-02-01,14.53,42
530,2009-03-01,14.53,32
531,2009-04-01,14.62,40
532,2009-05-01,14.65,32
533,2009-06-01,14.65,32
534,2009-07-01,14.72,35
535,2009-08-01,14.66,48
536,2009-09-01,14.7,44
537,2009-10-01,14.65,82
538,2009-11-01,14.77,40
539,2009-12-01,14.65,41
540,2010-01-01,14.73,57
541,2010-02-01,14.79,76
542,2010-03-01,14.92,61
543,2010-04-01,14.87,38
544,2010-05-01,14.75,36
545,2010-06-01,14.64,37
546,2010-07-01,14.62,48
547,2010-08-01,14.65,43
548,2010-09-01,14.61,43
549,2010-10-01,14.71,38
550,2010-11-01,14.8,34
551,2010-12-01,14.49,49
552,2011-01-01,14.51,42
553,2011-02-01,14.53,41
554,2011-03-01,14.64,228
555,2011-04-01,14.65,52
556,2011-05-01,14.53,48
557,2011-06-01,14.59,43
558,2011-07-01,14.74,63
559,2011-08-01,14.73,51
560,2011-09-01,14.56,40
561,2011-10-01,14.66,37
562,2011-11-01,14.56,40
563,2011-12-01,14.54,28
564,2012-01-01,14.46,31
565,2012-02-01,14.49,38
566,2012-03-01,14.58,33
567,2012-04-01,14.69,58
568,2012-05-01,14.76,33
569,2012-06-01,14.62,37
570,2012-07-01,14.56,34
571,2012-08-01,14.63,38
572,2012-09-01,14.76,31
573,2012-10-01,14.77,40
574,2012-11-01,14.75,41
575,2012-12-01,14.52,31
576,2013-01-01,14.68,23
577,2013-02-01,14.55,82
578,2013-03-01,14.66,28
579,2013-04-01,14.52,41
580,2013-05-01,14.61,44
581,2013-06-01,14.65,30
582,2013-07-01,14.59,36
583,2013-08-01,14.66,33
584,2013-09-01,14.78,39
