,Classifier,F2-Score,BestParameters,FeatureNumber,Normalized,PCA,PCAComponents
71,k-Nearest Neighbors,0.364786728423092,"{'metric': 'cityblock', 'n_neighbors': 1, 'weights': 'uniform'}",5,True,False,3
72,Naive Bayes,0.337995337995338,{},6,False,True,1
73,SVM,0.0,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",6,True,True,1
74,Decission Tree,0.3316733771279226,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1}",6,False,True,1
75,AdaBoost,0.37019041564496113,"{'base_estimator__criterion': 'entropy', 'base_estimator__splitter': 'random', 'n_estimators': 1}",6,False,True,1
76,Random Forest,0.35742035742035744,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 10}",6,False,True,1
77,k-Nearest Neighbors,0.19813519813519814,"{'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'distance'}",6,True,True,1
78,Naive Bayes,0.37529137529137535,{},6,False,True,2
79,SVM,0.0,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",6,True,True,2
80,Decission Tree,0.3813131313131313,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1}",6,False,True,2
81,AdaBoost,0.4182953798338414,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'best', 'n_estimators': 1}",6,False,True,2
82,Random Forest,0.33494283494283494,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 1}",6,False,True,2
83,k-Nearest Neighbors,0.2677322677322677,"{'metric': 'cityblock', 'n_neighbors': 3, 'weights': 'uniform'}",6,True,True,2
84,Naive Bayes,0.37529137529137535,{},6,False,True,3
85,SVM,0.0,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",6,True,True,3
86,Decission Tree,0.3600595208986817,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1}",6,False,True,3
87,AdaBoost,0.4314880923272532,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'random', 'n_estimators': 1}",6,False,True,3
88,Random Forest,0.22338772338772342,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 1}",6,False,True,3
89,k-Nearest Neighbors,0.21084975630430178,"{'metric': 'cityblock', 'n_neighbors': 1, 'weights': 'uniform'}",6,True,True,3
90,Naive Bayes,0.46959101504556056,{},6,False,False,1
91,SVM,0.09090909090909091,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",6,True,False,1
92,Decission Tree,0.31457936003390546,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 7}",6,False,False,1
93,AdaBoost,0.2871900826446281,"{'base_estimator__criterion': 'entropy', 'base_estimator__splitter': 'best', 'n_estimators': 1}",6,False,False,1
94,Random Forest,0.4420428056791693,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 1}",6,False,False,1
95,k-Nearest Neighbors,0.19428124323229215,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",6,True,False,1
96,Naive Bayes,0.46959101504556056,{},6,False,False,2
97,SVM,0.09090909090909091,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",6,True,False,2
98,Decission Tree,0.31457936003390546,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 7}",6,False,False,2
99,AdaBoost,0.4338842975206612,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'random', 'n_estimators': 2}",6,False,False,2
100,Random Forest,0.3106439015529925,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 1}",6,False,False,2
101,k-Nearest Neighbors,0.19428124323229215,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",6,True,False,2
102,Naive Bayes,0.46959101504556056,{},6,False,False,3
103,SVM,0.09090909090909091,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",6,True,False,3
104,Decission Tree,0.31457936003390546,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 7}",6,False,False,3
105,AdaBoost,0.3608020767111676,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'random', 'n_estimators': 2}",6,False,False,3
106,Random Forest,0.49459631277813093,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 1}",6,False,False,3
107,k-Nearest Neighbors,0.19428124323229215,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",6,True,False,3
108,Naive Bayes,0.3228438228438229,{},7,False,True,1
109,SVM,0.0,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",7,True,True,1
110,Decission Tree,0.2470862470862471,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_leaf': 3}",7,False,True,1
111,AdaBoost,0.17270608179699087,"{'base_estimator__criterion': 'entropy', 'base_estimator__splitter': 'random', 'n_estimators': 1}",7,False,True,1
112,Random Forest,0.2122120303938486,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 5}",7,False,True,1
113,k-Nearest Neighbors,0.26709401709401714,"{'metric': 'euclidean', 'n_neighbors': 4, 'weights': 'distance'}",7,True,True,1
114,Naive Bayes,0.3228438228438229,{},7,False,True,2
115,SVM,0.0,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",7,True,True,2
116,Decission Tree,0.3898601398601399,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1}",7,False,True,2
117,AdaBoost,0.3493324856961221,"{'base_estimator__criterion': 'gini', 'base_estimator__splitter': 'best', 'n_estimators': 1}",7,False,True,2
118,Random Forest,0.22462386098749737,"{'criterion': 'entropy', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 1}",7,False,True,2
119,k-Nearest Neighbors,0.2843822843822844,"{'metric': 'cityblock', 'n_neighbors': 3, 'weights': 'uniform'}",7,True,True,2
120,Naive Bayes,0.3053613053613054,{},7,False,True,3
121,SVM,0.0,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",7,True,True,3
122,Decission Tree,0.25602175602175603,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1}",7,False,True,3
123,AdaBoost,0.27084027084027085,"{'base_estimator__criterion': 'entropy', 'base_estimator__splitter': 'random', 'n_estimators': 1}",7,False,True,3
124,Random Forest,0.36978173341809706,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 1}",7,False,True,3
125,k-Nearest Neighbors,0.1549057003602458,"{'metric': 'cityblock', 'n_neighbors': 1, 'weights': 'uniform'}",7,True,True,3
126,Naive Bayes,0.46959101504556056,{},7,False,False,1
127,SVM,0.09090909090909091,"{'C': 10, 'gamma': 0.001, 'kernel': 'linear'}",7,True,False,1
128,Decission Tree,0.3098114007204916,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 7}",7,False,False,1
